full_text,id_str,created_at,username,user_id_str,lang,location,quote_count,reply_count,retweet_count,favorite_count,tweet_url,mentions,mention_count,source,target
Finally we're joining @BNBCHAIN Hackathon 2024 Q2: ONE BNB - Coding the Future with an @EngeLayer. Keep buidling EVM is the Endgame... https://t.co/GLCLNmggp8,1.80E+31,2024-06-03 16:57:05+00:00,leyzerok,1.40E+31,en,NaN,0,0,1,5,https://x.com/leyzerok/status/1797673872852222238,"BNBCHAIN,EngeLayer",2,leyzerok,BNBCHAIN
I'm not a player. I'm a gamer. Players get chicks. I get achievements. #Presale #PlayDoge #MemeCoin #BNB #P2E https://t.co/kOcIc9dk8p,1.80E+31,2024-06-03 16:50:51+00:00,PlayDogeGame,1.79E+31,en,8bit Land,0,21,14,54,https://x.com/PlayDogeGame/status/1797672306829070679,,0,PlayDogeGame,
Former Binance CEO CZ has reported to a California federal prison to begin his 4-month sentence $BNB is up 4% today The number 4... https://t.co/3k2lx6P490,1.80E+31,2024-06-03 16:47:23+00:00,StocktwitsCrypt,1.76E+31,en,New York,1,3,4,19,https://x.com/StocktwitsCrypt/status/1797671433084248324,,0,StocktwitsCrypt,
@bsc_hold Scam project my bnb &amp; usdt was stolen by hold dev,1.80E+31,2024-06-03 16:42:44+00:00,demironder22,1.44E+31,en,NaN,2,12,1,7,https://x.com/demironder22/status/1797670262445691297,bsc_hold,1,demironder22,bsc_hold
$BNB Tried breaking out of the falling trendline today but seems like getting rejected here. Let's wait for the daily close if closes above the resistance then it's a strong breakout to enter. https://t.co/ktYzx5F5T0,1.80E+31,2024-06-03 16:36:17+00:00,cryptosenseiXBT,1.53E+31,en,NaN,0,1,0,11,https://x.com/cryptosenseiXBT/status/1797668638629245118,,0,cryptosenseiXBT,
$LAND | @Landshareio Determining the reversal zone using just a few tools has never been easier. Currently we observe buyers entering the market indicating a high likelihood of continued growth. $LAND made history as the first project to sell property on the BNB platform! https://t.co/128andX5Hy,1.80E+31,2024-06-03 16:32:14+00:00,wist_defi,1.68E+31,en,NaN,1,3,1,38,https://x.com/wist_defi/status/1797667619257933964,Landshareio,1,wist_defi,Landshareio
Thank you @CoinMarketCap for awarding $JOOPS a verified blue tick we appreciate your acknowledgement of our hard work and dedication to providing value to the crypto industry #joops #rwa #memecoin #bnb #sol #btc #eth https://t.co/O79U9JHVBT,1.80E+31,2024-06-03 16:28:30+00:00,joopsrwa,8.06E+30,en,"City of London, London",1,9,9,15,https://x.com/joopsrwa/status/1797666682942746858,CoinMarketCap,1,joopsrwa,CoinMarketCap
$BNB #Binance founder Changpeng Zhao (CZ) begins prison sentence in California. https://t.co/tMwcFv3OCT,1.80E+31,2024-06-03 16:26:55+00:00,TopRankInvestor,410318537.0,en,United States,0,0,1,6,https://x.com/TopRankInvestor/status/1797666284462854349,,0,TopRankInvestor,
What could be more fun than earning $HODL token through play! https://t.co/38I56TkIDL #HODL #HODLcoin #HODLtoken #HODLers #HODLing #BSC #BNB $BNB #DeFi #BNBrewards #BSCgem #BSCgems #PlayToEarn #Play2Earn #P2E,1.80E+31,2024-06-03 16:24:19+00:00,HODL_Burns,1.64E+31,en,HODLVERSE Inc,0,0,2,9,https://x.com/HODL_Burns/status/1797665629358719335,,0,HODL_Burns,
Secure your Stage 1 spot in #presale while you can before we start the AMA-train! JBC will hold some AMA's soon and our products are reviewed by some people you might now. $JBC has a staged presale where the price will go up every stage till hardcap! #crypto #utility #bnb https://t.co/qDR8aRaFyt,1.80E+31,2024-06-03 16:10:18+00:00,JBC_Hub,1.42E+30,en,Australia,0,2,8,10,https://x.com/JBC_Hub/status/1797662100166459874,,0,JBC_Hub,
$dyp made it to #1 #gamefi on $bnb @binance Still very odd to see it at $4.9 million market cap . Definitely some price suppression going on Should be $882 million mc or 180x minimum like $mana Decentraland $gme #dyp #crypto #cryptocurrency #altcoins #altseason $btc https://t.co/Z5unLKzka1,1.80E+31,2024-06-03 15:58:55+00:00,XYOPepe,1.33E+30,en,McDonald's,1,2,6,14,https://x.com/XYOPepe/status/1797659237595906192,binance,1,XYOPepe,binance
562 000 000 People Across the Globe Now Own Cryptocurrency According to New Study. Superb Analysis of Binance Coin (BNB) on a 1-Day Timeframe: ️ $BNB/USDT is currently in an ascending triangle indicating a potential price increase. Long-term analysis shows that #BNB https://t.co/ffUeC4qc5L,1.80E+31,2024-06-03 15:51:24+00:00,Samuelsimonsun1,1.17E+30,en,Trading view,0,0,2,3,https://x.com/Samuelsimonsun1/status/1797657345599717511,,0,Samuelsimonsun1,
️ 𝗡𝗲𝘄 𝗘𝘅𝗽𝗿𝗲𝘀𝘀 𝗟𝗶𝘀𝘁𝗶𝗻𝗴! Entered Trending | @trumpita2024 TRUMPITA | #TRUMPITA https://t.co/JQIbCSqzhQ #BNB #BTC #SHIB #GROK https://t.co/hNxuG2WSWf,1.80E+30,2024-06-03 15:45:10+00:00,listingntm,1.57E+31,en,everywhere,2,7,11,29,https://x.com/listingntm/status/1797655774425985521,trumpita2024,1,listingntm,trumpita2024
Secure your cryptocurrency with the best multifunctional wallet on the market. @iSafePal Self custody is the way. @V_SafePal #BTC #ETH #BNB #crypto https://t.co/9S4fYpIGBm,1.80E+31,2024-06-03 15:38:28+00:00,FullSend0x,447110184.0,en,NaN,1,0,3,10,https://x.com/FullSend0x/status/1797654091918868558,"iSafePal,V_SafePal",2,FullSend0x,iSafePal
I gave you $BAKED at $0.002 from presale. I am giving you $BAKED again at $0.02 we have not even launched #Web3 Casino yet! On #CMC On #CG Low Supply of 69M Currently at 1.4M MC! Huge Marketing Live! UFC Ambassador Ode Osbourne Onboard! #BakedBeansReloaded #BNB #Casino #ItWillFly https://t.co/5poDxihtVV,1.80E+31,2024-06-03 15:15:45+00:00,Legend4831,1090482702.0,en,NaN,0,15,17,25,https://x.com/Legend4831/status/1797648372146516366,,0,Legend4831,
In #Blackjack the number 21 represents the coveted hand an instant win. So may be @0X21Flameling on #BNB CA: 0x3984e3807bc8ac705c9ed612ad4bb7a7c4028f01 https://t.co/3mvcXzL1SQ,1.80E+30,2024-06-03 15:12:44+00:00,N0_crypto,1.26E+31,en,"Chicago, IL",0,3,7,8,https://x.com/N0_crypto/status/1797647615687016496,0X21Flameling,1,N0_crypto,0X21Flameling
#crypto chart request: $BNB Zooming on the daily the uptrend &amp; pattern remain pretty bullish Now if we zoom in on the weekly view I'm not sure #BNB will enter a price discovery mode and break the ATH just yet️ Based on my lines and experience I think we're going https://t.co/xATOCMPHBb,1.80E+31,2024-06-03 14:59:03+00:00,CryptoJobs3,1.29E+31,en,NaN,1,3,0,5,https://x.com/CryptoJobs3/status/1797644169965432976,,0,CryptoJobs3,
Hello to everyone who had to touch the grass over the weekend but spent time on the phone #crypto #bnb #btc https://t.co/yYvoeY6yJc,1.80E+31,2024-06-03 14:36:18+00:00,dianabinance,1.72E+31,en,NaN,0,3,3,22,https://x.com/dianabinance/status/1797638443490807862,,0,dianabinance,
 Big Project Matchain will be listed on #BNB BINANCE Registration link : https://t.co/o9qdqvnh39 Join group to chat: https://t.co/XKwTtRuY3f The group always opens chat so you can discuss buying and selling and to ensure your transactions are as safe as possible. https://t.co/C7J8BWv1uA,1.80E+31,2024-06-03 14:27:40+00:00,AZCoiner_Update,1.63E+31,en,NaN,0,1,4,4,https://x.com/AZCoiner_Update/status/1797636273995485306,,0,AZCoiner_Update,
$TRUNK is up 250% in 14 days. Available on $SOL and $BNB deep liquidity finite supply no unlocks based doxed dev @tonyoncrypto massive engaged community $2M protocol buy back incoming this week. Lockups via Trumpet and Elephant Futures https://t.co/zwYNFqe5bD,1.80E+31,2024-06-03 14:24:16+00:00,AllThingsETH,1.45E+31,en,NaN,0,1,15,32,https://x.com/AllThingsETH/status/1797635417359196557,tonyoncrypto,1,AllThingsETH,tonyoncrypto
Thank You for Your Incredible Support! We are thrilled to announce that our presale has successfully concluded with 42.82 BNB raised! A huge thank you to our amazing community for your unwavering support. Get ready for our launch on PancakeSwap today at 18:00 UTC! Tokens https://t.co/EGvN4FKWXV,1.80E+31,2024-06-03 14:12:25+00:00,Trumpita2024,1.79E+31,en,NaN,0,19,2,30,https://x.com/Trumpita2024/status/1797632436777423265,,0,Trumpita2024,
Our community is making #BNB great again. Watch $JFIVE start #memecoin season on $BNB CA: 0x845705db1623b8363a6d9813f33b73ec50cea0a2 https://t.co/QboK9jNTC3,1.80E+31,2024-06-03 13:59:40+00:00,jonnyfiveai,1.74E+31,en,NaN,1,1,5,8,https://x.com/jonnyfiveai/status/1797629224234504404,,0,jonnyfiveai,
Top 15 Projects by $ORI pool size | 3 Jun by @OrioleInsights The list of most popular projects based on community predictions &amp; #ORI pool size. $BTC #BTC $BNB #BNB $ETH #ETH $TON $MATIC $ATOM $MNT $NOT $FET $ENA $NAKA $SOL $PEPE $AXL $IOTX Predict the price movement of your https://t.co/Lv9a94vz4Y,1.80E+31,2024-06-03 13:52:16+00:00,OrioleInsights,1.49E+31,en,Metaverse,1,1,1,6,https://x.com/OrioleInsights/status/1797627364672758099,OrioleInsights,1,OrioleInsights,OrioleInsights
Just to keep this in mind I will post it again... #BNB started as #ETH token. And took some time before they moved fully to their #Blockchain https://t.co/7p2Lru8M9D,1.80E+31,2024-06-03 13:46:30+00:00,StygianOne,8.40E+30,en,Czechia,2,5,45,94,https://x.com/StygianOne/status/1797625913020170289,,0,StygianOne,
There is no doubt that Hamster Kombat is the king Join my team: https://t.co/6oV1UhQ8qL It has over 60M players and 22M subscribers on Telegram which are evidence for its success #BNB #GME #tapswap #hamsterkombat #memecoin https://t.co/YmQPRYLiYT,1.80E+31,2024-06-03 13:44:12+00:00,memecoinish,1.79E+31,en,Blockchain,0,12,3,24,https://x.com/memecoinish/status/1797625335145705576,,0,memecoinish,
 Exciting news! Vault 2.0 is gearing up for launch on @taikoxyz mainnet! Featuring innovative mechanisms for stable growth and flexibility. Plus rest assured with our security audit report @scalebit_ . Also mark your calendars for the BNB Chain Vault upgrade on,1.80E+31,2024-06-03 13:31:23+00:00,KiloEx_perp,1.64E+31,en,Global,2,2,3,21,https://x.com/KiloEx_perp/status/1797622106806755712,"taikoxyz,scalebit_",2,KiloEx_perp,taikoxyz
Over 126B $KOIN are burned in just 2 months worth $34 000 #memecoin #KOIN #BNB #BTC https://t.co/W35pGaw4zs,1.80E+31,2024-06-03 13:16:57+00:00,fishkoin,1.75E+31,en,BSC Network,4,11,28,87,https://x.com/fishkoin/status/1797618478205276178,,0,fishkoin,
Gotta love $DOUG Team. Update $DOUG held extremely well during the night dipped to 800k which only lead me to scoop even more. Now again its at 1.1M and ready for a new LEG. This is not something u sleep on. $DOUG keep Dougging https://t.co/Y6qkDfh7HJ #BTC #bnb #binance https://t.co/32F6tQVvSM,1.80E+31,2024-06-03 13:15:14+00:00,CryptoProphet00,1.48E+31,en,"Philadelphia, PA",0,6,9,17,https://x.com/CryptoProphet00/status/1797618044027482333,,0,CryptoProphet00,
Our video game development crossed a huge milestone this weekend Flawless connection between the wallet and in game use with #NFT creation of characters weapons vehicles etc is complete. Each will be specific to your wallet only Happy Monday #LUNC #BNB #BTC #Crypto,1.80E+30,2024-06-03 12:57:58+00:00,onlycryptobaron,1.44E+31,en,NaN,1,4,3,18,https://x.com/onlycryptobaron/status/1797613698389016924,,0,onlycryptobaron,
Here's a thread on how you can transfer USDT via BNB Chain 1️⃣ Press the Wallet Icon in the upper left corner. https://t.co/GGt0oykIFf,1.80E+31,2024-06-03 12:36:03+00:00,veloprotocol,1.04E+31,en,NaN,5,20,47,333,https://x.com/veloprotocol/status/1797608181453226458,,0,veloprotocol,
 Day 82 Humbly Request Robinhood Team List - $VOLT INU - The People's Crypto️ @vladtenev @JohannKerbrat @StephGuildNYC @RobinhoodCrypto @RobinhoodApp #VOLT - A Proven +2 Yr Strong Project with Amazing Community #Crypto #DeFi #VoltArmy #Altcoin #AltSeason #eth #bnb https://t.co/GUgAihDnzx,1.80E+31,2024-06-03 12:34:20+00:00,VoltiHard,1.73E+31,en,volt island,1,0,26,35,https://x.com/VoltiHard/status/1797607749335101708,"vladtenev,JohannKerbrat,StephGuildNYC,RobinhoodCrypto,RobinhoodApp",5,VoltiHard,vladtenev
Someone just bought 130 000 $BNB worth $82 million. Insider trading or a whale accumulating? https://t.co/1w7Hx1B7vF,1.80E+31,2024-06-03 12:30:05+00:00,0xAbhiP,1.52E+31,en,NaN,1,26,1,72,https://x.com/0xAbhiP/status/1797606683730215247,,0,0xAbhiP,
Introducing $DevvE for the $SOL $BNB and $ETH armies Be part of the (r)evolution of blockchain https://t.co/9V3IiHrTSM,1.80E+30,2024-06-03 12:16:21+00:00,DevveDiamond,1.73E+31,en,Sweden,0,1,8,25,https://x.com/DevveDiamond/status/1797603225148997911,,0,DevveDiamond,
 April ️ May '24 Crypto Market Recap: - #BTC〽️-15.2% ️ +11.35% - $ETH 〽️ -17.45% ️ +24.89% - $BNB 〽️-4.69% ️ +2.6% - $SOL 〽️ -37.43% ️ +30.47% - $ADA 〽️ -32.2% ️ +1.51% - $DOGE 〽️ -39.41% ️ +19.35% Trade smart with #Floxypay! https://t.co/Ejztbf8upu,1.80E+31,2024-06-03 12:03:01+00:00,floxy_pay,1.60E+31,en,NaN,1,7,6,11,https://x.com/floxy_pay/status/1797599870812864546,,0,floxy_pay,
Let's Make #BNB Memes Great Again #BabyDogeArmy https://t.co/1IlwUii7mi #BabyDoge #btc #MemeCoinSeason #bullrun #osed,1.80E+31,2024-06-03 12:02:39+00:00,__Babydoge_Coin,1.48E+31,en,NaN,0,5,3,13,https://x.com/__Babydoge_Coin/status/1797599776663310392,,0,__Babydoge_Coin,
Let's Make #BNB Memes Great Again #BabyDogeArmy https://t.co/1IlwUii7mi #BabyDoge #btc #MemeCoinSeason #bullrun #iuem,1.80E+31,2024-06-03 12:01:33+00:00,__Babydoge_Coin,1.48E+31,en,NaN,0,3,5,17,https://x.com/__Babydoge_Coin/status/1797599499302367316,,0,__Babydoge_Coin,
Make #BNB great again!! Run it up! $JFIVE CA: 0x845705db1623b8363a6d9813f33b73ec50cea0a2 https://t.co/wN7fmKHgCz,1.80E+31,2024-06-03 11:27:41+00:00,jonnyfiveai,1.74E+31,en,NaN,0,0,4,7,https://x.com/jonnyfiveai/status/1797590979186417941,,0,jonnyfiveai,
@gate_io @Portalcoin Have you ever wanted to launch your own project? The whole process just got a lot simpler with the SmartDeFi Launchpad live now on https://t.co/cjbwnuCDQG Launch on Base Eth &amp; BnB or all 3 with a shit load of tech from the go that,1.80E+31,2024-06-03 11:02:09+00:00,Ste_Cha_FEG,1.37E+29,en,UK 🇬🇧,0,41,96,137,https://x.com/Ste_Cha_FEG/status/1797584551465619897,"gate_io,Portalcoin",2,Ste_Cha_FEG,gate_io
I love $BNB We love @cz_binance We love @binance #HODL #KeepBuilding https://t.co/hVGdeUCRq7,1.80E+31,2024-06-03 10:37:43+00:00,G_Legendaire,1.45E+31,en,Côte d'Ivoire,0,3,2,15,https://x.com/G_Legendaire/status/1797578404277137789,"cz_binance,binance",2,G_Legendaire,cz_binance
$BNB Beautiful chat looks ready to get fully send!! https://t.co/nJ2w8AFuyK,1.80E+30,2024-06-03 10:00:54+00:00,BTC_Revolution,8.05E+30,en,Never Advice!,0,1,2,11,https://x.com/BTC_Revolution/status/1797569137059012975,,0,BTC_Revolution,
Following the launch of the Aggregata DataPet Free mint last week we've experienced an influx of new users which is truly exciting. It's an honor for us to be included on the BNB Chain dApps recommended list. We're deeply grateful for your support of Aggregata. Remember to https://t.co/UUeKzJVZl8,1.80E+31,2024-06-03 09:43:16+00:00,Aggregata_xyz,1.66E+31,en,Data World,0,2,2,10,https://x.com/Aggregata_xyz/status/1797564701670625375,,0,Aggregata_xyz,
GM Legends Why is nobody talking about #BNB ? Its close to a new ATH ,1.80E+31,2024-06-03 09:00:40+00:00,CRYPT38,1.40E+31,en,"Dubai, United Arab Emirates",0,6,0,16,https://x.com/CRYPT38/status/1797553980949840004,,0,CRYPT38,
 Does this look confirmed with $BNB? Are we about to see #BNB BREAK ATH? Do we expect our #BSCgems $KOIN $CATE $OKY to follow and start their #bullrun? #FISHKOIN #CATECOIN #ONIGIRIKITTY https://t.co/KimSOlTNjZ,1.80E+31,2024-06-03 07:41:17+00:00,AIMemeExplorer,1.25E+31,en,NaN,1,3,8,16,https://x.com/AIMemeExplorer/status/1797534004205461927,,0,AIMemeExplorer,
New to #LOG? No problem! With tutorials and guides for all levels you can quickly learn and thrive on our platform. Begin your adventure with LOG today! https://t.co/TU0bVyJRUo #btc #eth #crypto #bnb #playtoearn #earn #investment #game #nft https://t.co/vWzhQTLpjg,1.80E+31,2024-06-03 07:40:31+00:00,LegacyOfGameOff,1.66E+31,en,NaN,0,1,26,152,https://x.com/LegacyOfGameOff/status/1797533808834843131,,0,LegacyOfGameOff,
$MOGB | BSC | ️️ 100 BNB hardcap and 0.3 BNB max buy. Their previous project did 13x peka is helping them in marketing. Presale Link: https://t.co/1lLbacW34U Website: https://t.co/W44gnJgFN6 Telegram: https://t.co/nV396z87nJ Twitter: https://t.co/kLzCvWBjI3 https://t.co/2vclZfe2Oi,1.80E+31,2024-06-03 07:25:02+00:00,KazutoraLounge,1390996644.0,en,Web3 Community ,0,50,80,198,https://x.com/KazutoraLounge/status/1797529913735745841,,0,KazutoraLounge,
Last week's top searches on #BHEExchange are in! Check this out 1⃣ $BHB 2⃣ $DDO 3⃣ $ENA 4⃣ $BNB 5⃣ $DOGE 6⃣ $SUI Which ones are you watching? #BHE #Crypto #TopCoins #Blockchain https://t.co/uIoo7Uv3BJ,1.80E+31,2024-06-03 07:19:08+00:00,BHE_Exchange,1.66E+31,en,NaN,1,6,169,675,https://x.com/BHE_Exchange/status/1797528430034264261,,0,BHE_Exchange,
$BNB #BNB looks absolutely insane here. 12hr flag breakout after retest Previous ATH retest incoming Surprised more people not speaking on this. https://t.co/lG8zztjZ1K,1.80E+31,2024-06-03 07:15:40+00:00,Thecryptomist,9.77E+30,en,NaN,0,14,4,39,https://x.com/Thecryptomist/status/1797527556511711246,,0,Thecryptomist,
#Btc pumped / pumping #Eth pumped / pumping Large caps (bnb ) and other showing strength... Mid caps and low caps after Large caps ? Typical #Altsseason ??????? https://t.co/i7TQ9qr7xJ,1.80E+31,2024-06-03 06:57:05+00:00,okocoin,1.64E+31,en,from Earth ,0,0,1,7,https://x.com/okocoin/status/1797522877568393595,,0,okocoin,
$BNB is breaking out we are on the right chain! #BabyPepe is listed on Binance s web3 wallet available for millions of users! #Binance #memecoins #x1000GEM $PEPE https://t.co/C8Jzb8CkRC,1.80E+31,2024-06-03 06:56:31+00:00,BabyPepeBNB,1006546596.0,en,NaN,2,15,30,72,https://x.com/BabyPepeBNB/status/1797522738686709935,,0,BabyPepeBNB,
BNB consolidation breakout . Everything about to get sent ? #bnb #binance https://t.co/pQNrV6VYnR,1.80E+31,2024-06-03 06:47:22+00:00,okocoin,1.64E+31,en,from Earth ,0,2,3,8,https://x.com/okocoin/status/1797520432423399723,,0,okocoin,
GOOD MORNING The Memes market healing Palomena Prasina wishes a perfect start into a new week Watchout the $PAPRA Tokenomics #solana #papra #paprasol #solanameme #memes #meme #floki #shiba #pepe #BTC #BNB #ETH https://t.co/SP62heorMB,1.80E+31,2024-06-03 06:30:10+00:00,papraonsol,1.79E+31,en,Solana Memes World,1,10,9,16,https://x.com/papraonsol/status/1797516104031523135,,0,papraonsol,
GM to my 10 active Frens $BNB https://t.co/r6HY63Yp5z,1.80E+31,2024-06-03 06:28:35+00:00,manuelpng,1.03E+31,en,0$ ,2,42,11,51,https://x.com/manuelpng/status/1797515707858706447,,0,manuelpng,
$BNB - 4 digits soon Can t find a bullish chart than this one time we print money now https://t.co/MXVjXJYTJa,1.80E+31,2024-06-03 06:21:56+00:00,holdersignals,1.27E+31,en,NaN,0,9,9,70,https://x.com/holdersignals/status/1797514034855755783,,0,holdersignals,
105 #BNB Buy back of #STC from team itself! 5 5 10 70 &amp; 15 BNB used to buy back #SaitaChainCoin Bought in different transactions strategically 788 #ETH (4908BNB approx.) is with team from LP unlocked Let's see how much will be used for buy back KILL ZERO #BTC #Crypto https://t.co/8gZBIykugs,1.80E+31,2024-06-03 06:07:34+00:00,NikkiiR1717,1.78E+31,en,NaN,0,7,37,94,https://x.com/NikkiiR1717/status/1797510418925277468,,0,NikkiiR1717,
Gmonday #BRISE community #BTC is on $68K near the ATH zone. #BTC is going to get the new ATH soon #ETH and #BNB have a good price action. They are going to get the new ATH too. #BRISE is so bullish. The chart is so bullish with higher highs and higher lows. The reversal is https://t.co/P52NWfkJhQ,1.80E+31,2024-06-03 05:39:19+00:00,CryptoMovie33,1569058890.0,en,NaN,1,3,24,113,https://x.com/CryptoMovie33/status/1797503307272815074,,0,CryptoMovie33,
I have to check out of my bnb at 10 and can t check in to my student residence until 2 uhhh I kinda don t wanna walk around the city with my big bags for 4 hours,1.80E+31,2024-06-03 04:04:56+00:00,tony_bloni,2764128487.0,en,| 20 | he/him | Canada,0,2,0,11,https://x.com/tony_bloni/status/1797479554866688433,,0,tony_bloni,
